posting_date,role_family,postings,salary_postings,median_salary_usd,remote_tagged_postings
2024-03-06,Analytics Engineer,0,0,,0
2024-03-06,BI Analyst,0,0,,0
2024-03-06,Business Analyst,0,0,,0
2024-03-06,Data Analyst,0,0,,0
2024-03-06,Data Engineer,1,1,216320.0,1
2024-03-06,Data Scientist,0,0,,0
2024-03-06,Product Analyst,0,0,,0
2024-03-07,Analytics Engineer,0,0,,0
2024-03-07,BI Analyst,0,0,,0
2024-03-07,Business Analyst,0,0,,0
2024-03-07,Data Analyst,0,0,,0
2024-03-07,Data Engineer,0,0,,0
2024-03-07,Data Scientist,0,0,,0
2024-03-07,Product Analyst,0,0,,0
2024-03-08,Analytics Engineer,0,0,,0
2024-03-08,BI Analyst,0,0,,0
2024-03-08,Business Analyst,0,0,,0
2024-03-08,Data Analyst,0,0,,0
2024-03-08,Data Engineer,0,0,,0
2024-03-08,Data Scientist,0,0,,0
2024-03-08,Product Analyst,0,0,,0
2024-03-09,Analytics Engineer,0,0,,0
2024-03-09,BI Analyst,0,0,,0
2024-03-09,Business Analyst,0,0,,0
2024-03-09,Data Analyst,0,0,,0
2024-03-09,Data Engineer,0,0,,0
2024-03-09,Data Scientist,0,0,,0
2024-03-09,Product Analyst,0,0,,0
2024-03-10,Analytics Engineer,0,0,,0
2024-03-10,BI Analyst,0,0,,0
2024-03-10,Business Analyst,0,0,,0
2024-03-10,Data Analyst,0,0,,0
2024-03-10,Data Engineer,0,0,,0
2024-03-10,Data Scientist,0,0,,0
2024-03-10,Product Analyst,0,0,,0
2024-03-11,Analytics Engineer,0,0,,0
2024-03-11,BI Analyst,1,1,200950.0,0
2024-03-11,Business Analyst,0,0,,0
2024-03-11,Data Analyst,0,0,,0
2024-03-11,Data Engineer,0,0,,0
2024-03-11,Data Scientist,1,0,,0
2024-03-11,Product Analyst,0,0,,0
2024-03-12,Analytics Engineer,0,0,,0
2024-03-12,BI Analyst,0,0,,0
2024-03-12,Business Analyst,0,0,,0
2024-03-12,Data Analyst,0,0,,0
2024-03-12,Data Engineer,0,0,,0
2024-03-12,Data Scientist,0,0,,0
2024-03-12,Product Analyst,0,0,,0
2024-03-13,Analytics Engineer,0,0,,0
2024-03-13,BI Analyst,0,0,,0
2024-03-13,Business Analyst,0,0,,0
2024-03-13,Data Analyst,0,0,,0
2024-03-13,Data Engineer,0,0,,0
2024-03-13,Data Scientist,0,0,,0
2024-03-13,Product Analyst,0,0,,0
2024-03-14,Analytics Engineer,0,0,,0
2024-03-14,BI Analyst,0,0,,0
2024-03-14,Business Analyst,2,1,91957.0,2
2024-03-14,Data Analyst,0,0,,0
2024-03-14,Data Engineer,0,0,,0
2024-03-14,Data Scientist,0,0,,0
2024-03-14,Product Analyst,0,0,,0
2024-03-15,Analytics Engineer,0,0,,0
2024-03-15,BI Analyst,0,0,,0
2024-03-15,Business Analyst,0,0,,0
2024-03-15,Data Analyst,0,0,,0
2024-03-15,Data Engineer,0,0,,0
2024-03-15,Data Scientist,1,0,,0
2024-03-15,Product Analyst,0,0,,0
2024-03-16,Analytics Engineer,0,0,,0
2024-03-16,BI Analyst,0,0,,0
2024-03-16,Business Analyst,0,0,,0
2024-03-16,Data Analyst,0,0,,0
2024-03-16,Data Engineer,0,0,,0
2024-03-16,Data Scientist,0,0,,0
2024-03-16,Product Analyst,0,0,,0
2024-03-17,Analytics Engineer,0,0,,0
2024-03-17,BI Analyst,0,0,,0
2024-03-17,Business Analyst,0,0,,0
2024-03-17,Data Analyst,1,0,,0
2024-03-17,Data Engineer,0,0,,0
2024-03-17,Data Scientist,0,0,,0
2024-03-17,Product Analyst,0,0,,0
2024-03-18,Analytics Engineer,0,0,,0
2024-03-18,BI Analyst,0,0,,0
2024-03-18,Business Analyst,0,0,,0
