skill_name,skill_category,display_order,role_family,postings,role_share_pct,salary_postings,median_salary_usd
SQL,Programming and query languages,1,All data roles,1012,51.19,339,127550.0
Python,Programming and query languages,2,All data roles,818,41.38,266,138525.0
Excel,BI and visualization,10,All data roles,429,21.7,152,100700.0
AWS,Cloud platforms,20,All data roles,373,18.87,106,145600.0
Power BI,BI and visualization,12,All data roles,365,18.46,139,117500.0
Azure,Cloud platforms,21,All data roles,316,15.98,97,140000.0
Tableau,BI and visualization,11,All data roles,306,15.48,121,123200.0
Java,Programming and query languages,4,All data roles,183,9.26,63,151874.0
Google Cloud,Cloud platforms,22,All data roles,174,8.8,56,140200.0
Snowflake,Data platforms and warehouses,30,All data roles,167,8.45,52,142800.0
Scala,Programming and query languages,5,All data roles,153,7.74,51,145000.0
Jira,Engineering tools,73,All data roles,139,7.03,44,134685.0
Databricks,Data platforms and warehouses,31,All data roles,123,6.22,47,140000.0
Hadoop,Big data and streaming,41,All data roles,122,6.17,46,143950.0
Git,Engineering tools,70,All data roles,121,6.12,45,140000.0
NoSQL,Data platforms and warehouses,38,All data roles,116,5.87,37,155000.0
R,Programming and query languages,3,All data roles,109,5.51,32,147500.0
Redshift,Data platforms and warehouses,33,All data roles,107,5.41,30,137800.0
Apache Spark,Big data and streaming,40,All data roles,107,5.41,25,130000.0
SAS,Analytics and machine learning,60,All data roles,97,4.91,43,114938.0
PyTorch,Analytics and machine learning,65,All data roles,90,4.55,28,173325.0
TensorFlow,Analytics and machine learning,64,All data roles,78,3.95,29,170000.0
Airflow,Transformation and orchestration,51,All data roles,77,3.89,26,146250.0
Kafka,Big data and streaming,42,All data roles,76,3.84,24,150937.0
Kubernetes,Engineering tools,72,All data roles,75,3.79,29,156000.0
Docker,Engineering tools,71,All data roles,70,3.54,27,140400.0
BigQuery,Data platforms and warehouses,32,All data roles,65,3.29,18,139000.0
PostgreSQL,Data platforms and warehouses,34,All data roles,56,2.83,23,140000.0
MySQL,Data platforms and warehouses,35,All data roles,55,2.78,15,130764.0
dbt,Transformation and orchestration,50,All data roles,50,2.53,16,156000.0
