posting_date,postings,companies,salary_postings,salary_coverage_pct,median_salary_usd,remote_tagged_postings,remote_tagged_pct,sponsored_postings,postings_7d_average
2023-12-05,1,1,0,0.0,,0,0.0,0,1.0
2023-12-06,0,0,0,0.0,,0,0.0,0,0.5
2023-12-07,0,0,0,0.0,,0,0.0,0,0.33
2023-12-08,1,0,0,0.0,,0,0.0,0,0.5
2023-12-09,0,0,0,0.0,,0,0.0,0,0.4
2023-12-10,0,0,0,0.0,,0,0.0,0,0.33
2023-12-11,0,0,0,0.0,,0,0.0,0,0.29
2023-12-12,0,0,0,0.0,,0,0.0,0,0.14
2023-12-13,0,0,0,0.0,,0,0.0,0,0.14
2023-12-14,0,0,0,0.0,,0,0.0,0,0.14
2023-12-15,0,0,0,0.0,,0,0.0,0,0.0
2023-12-16,0,0,0,0.0,,0,0.0,0,0.0
2023-12-17,0,0,0,0.0,,0,0.0,0,0.0
2023-12-18,0,0,0,0.0,,0,0.0,0,0.0
2023-12-19,0,0,0,0.0,,0,0.0,0,0.0
2023-12-20,0,0,0,0.0,,0,0.0,0,0.0
2023-12-21,1,1,0,0.0,,0,0.0,0,0.14
2023-12-22,0,0,0,0.0,,0,0.0,0,0.14
2023-12-23,0,0,0,0.0,,0,0.0,0,0.14
2023-12-24,0,0,0,0.0,,0,0.0,0,0.14
2023-12-25,0,0,0,0.0,,0,0.0,0,0.14
2023-12-26,0,0,0,0.0,,0,0.0,0,0.14
2023-12-27,0,0,0,0.0,,0,0.0,0,0.14
2023-12-28,0,0,0,0.0,,0,0.0,0,0.0
2023-12-29,0,0,0,0.0,,0,0.0,0,0.0
2023-12-30,0,0,0,0.0,,0,0.0,0,0.0
2023-12-31,0,0,0,0.0,,0,0.0,0,0.0
2024-01-01,0,0,0,0.0,,0,0.0,0,0.0
2024-01-02,0,0,0,0.0,,0,0.0,0,0.0
2024-01-03,0,0,0,0.0,,0,0.0,0,0.0
2024-01-04,0,0,0,0.0,,0,0.0,0,0.0
2024-01-05,2,1,0,0.0,,0,0.0,0,0.29
2024-01-06,0,0,0,0.0,,0,0.0,0,0.29
2024-01-07,0,0,0,0.0,,0,0.0,0,0.29
2024-01-08,1,1,0,0.0,,1,100.0,0,0.43
2024-01-09,0,0,0,0.0,,0,0.0,0,0.43
2024-01-10,0,0,0,0.0,,0,0.0,0,0.43
2024-01-11,0,0,0,0.0,,0,0.0,0,0.43
2024-01-12,0,0,0,0.0,,0,0.0,0,0.14
2024-01-13,0,0,0,0.0,,0,0.0,0,0.14
2024-01-14,0,0,0,0.0,,0,0.0,0,0.14
2024-01-15,1,0,0,0.0,,0,0.0,0,0.14
2024-01-16,0,0,0,0.0,,0,0.0,0,0.14
2024-01-17,0,0,0,0.0,,0,0.0,0,0.14
2024-01-18,0,0,0,0.0,,0,0.0,0,0.14
2024-01-19,0,0,0,0.0,,0,0.0,0,0.14
2024-01-20,0,0,0,0.0,,0,0.0,0,0.14
2024-01-21,0,0,0,0.0,,0,0.0,0,0.14
2024-01-22,0,0,0,0.0,,0,0.0,0,0.0
2024-01-23,1,1,0,0.0,,0,0.0,0,0.14
2024-01-24,0,0,0,0.0,,0,0.0,0,0.14
2024-01-25,1,1,0,0.0,,1,100.0,0,0.29
2024-01-26,1,1,1,100.0,201200.0,0,0.0,0,0.43
2024-01-27,0,0,0,0.0,,0,0.0,0,0.43
2024-01-28,0,0,0,0.0,,0,0.0,0,0.43
2024-01-29,0,0,0,0.0,,0,0.0,0,0.43
2024-01-30,0,0,0,0.0,,0,0.0,0,0.29
2024-01-31,0,0,0,0.0,,0,0.0,0,0.29
2024-02-01,0,0,0,0.0,,0,0.0,0,0.14
2024-02-02,0,0,0,0.0,,0,0.0,0,0.0
2024-02-03,0,0,0,0.0,,0,0.0,0,0.0
2024-02-04,0,0,0,0.0,,0,0.0,0,0.0
2024-02-05,1,0,1,100.0,145000.0,0,0.0,0,0.14
2024-02-06,0,0,0,0.0,,0,0.0,0,0.14
2024-02-07,0,0,0,0.0,,0,0.0,0,0.14
2024-02-08,0,0,0,0.0,,0,0.0,0,0.14
2024-02-09,0,0,0,0.0,,0,0.0,0,0.14
2024-02-10,0,0,0,0.0,,0,0.0,0,0.14
2024-02-11,0,0,0,0.0,,0,0.0,0,0.14
2024-02-12,1,1,0,0.0,,1,100.0,0,0.14
2024-02-13,1,1,0,0.0,,0,0.0,0,0.29
2024-02-14,1,1,1,100.0,81000.0,0,0.0,0,0.43
2024-02-15,0,0,0,0.0,,0,0.0,0,0.43
2024-02-16,0,0,0,0.0,,0,0.0,0,0.43
2024-02-17,0,0,0,0.0,,0,0.0,0,0.43
2024-02-18,1,1,1,100.0,72000.0,1,100.0,0,0.57
2024-02-19,2,2,0,0.0,,0,0.0,0,0.71
2024-02-20,1,1,1,100.0,33280.0,0,0.0,0,0.71
2024-02-21,0,0,0,0.0,,0,0.0,0,0.57
2024-02-22,0,0,0,0.0,,0,0.0,0,0.57
2024-02-23,0,0,0,0.0,,0,0.0,0,0.57
2024-02-24,0,0,0,0.0,,0,0.0,0,0.57
2024-02-25,0,0,0,0.0,,0,0.0,0,0.43
